SIRET,company,star,avis,resultats
31963279000857,189,4.4,65.0,"""
""date:"""": ""il y a 4 ans"", ""name"": ""JEAN BEDEL TCHETCHE"", ""
""avis:"""": ""Superbe endroit pour travailler dans le calme et avec pas mal de commodités offertes."", ""
""évaluation:"""": 4
 
""
""date:"""": ""il y a 4 ans"", ""name"": ""JEAN BEDEL TCHETCHE"", ""
""avis:"""": ""Superbe endroit pour travailler dans le calme et avec pas mal de commodités offertes."", ""
""évaluation:"""": 4
 
""
""date:"""": ""il y a 3 ans"", ""name"": ""Alex pouchk"", ""
""avis:"""": ""j ai pas tout compris a leur activité. Mais une chose est sure. ils emploient la plus belle femme du monde connu"", ""
""évaluation:"""": 5
 
""
""date:"""": ""il y a 3 ans"", ""name"": ""Alex pouchk"", ""
""avis:"""": ""j ai pas tout compris a leur activité. Mais une chose est sure. ils emploient la plus belle femme du monde connu"", ""
""évaluation:"""": 5
 
""
""date:"""": ""il y a 5 ans"", ""name"": ""F BAC"", ""
""avis:"""": ""Beau siège
Beau locaux dans le 60
Des directeurs gentils aimables et courtois
Un service comptable fournisseur NUL !!!!!"", ""
""évaluation:"""": 1
 
""
""date:"""": ""il y a 5 ans"", ""name"": ""F BAC"", ""
""avis:"""": ""Beau siège
Beau locaux dans le 60
Des directeurs gentils aimables et courtois
Un service comptable fournisseur NUL !!!!!"", ""
""évaluation:"""": 1"
32621613200018,197,4.8,6.0,"""
""date:"""": ""il y a 2 ans"", ""name"": ""monique poirier"", ""
""avis:"""": ""Asselin est une tres bonne entreprise, j y travaille depuis plusieurs années  en tant que femme de ménage  le personnel est très gentil et le patron Mr François Asselin eest tres humain"", ""
""évaluation:"""": 5
 
""
""date:"""": ""il y a 2 ans"", ""name"": ""monique poirier"", ""
""avis:"""": ""Asselin est une tres bonne entreprise, j y travaille depuis plusieurs années  en tant que femme de ménage  le personnel est très gentil et le patron Mr François Asselin eest tres humain"", ""
""évaluation:"""": 5
 
""
""date:"""": ""il y a 6 ans"", ""name"": ""Julien Chris"", ""
""avis:"""": ""Tout à fait charmant."", ""
""évaluation:"""": 5
 
""
""date:"""": ""il y a 6 ans"", ""name"": ""Julien Chris"", ""
""avis:"""": ""Tout à fait charmant."", ""
""évaluation:"""": 5
 
""
""date:"""": ""il y a 3 ans"", ""name"": ""Jean"", ""
""avis:"""": ""Superbe entreprise !"", ""
""évaluation:"""": 5
 
""
""date:"""": ""il y a 3 ans"", ""name"": ""Jean"", ""
""avis:"""": ""Superbe entreprise !"", ""
""évaluation:"""": 5"
38250700200022,127,,,nan
51505194400053,144,3.2,66.0,"""
""date:"""": ""il y a un mois"", ""name"": ""Stephane Coutant"", ""
""avis:"""": ""Malheureusement je n'ai jamais eu l'occasion de bénéficier de leurs services ma mutuelle m'a proposé cet établissement pour de l'aide à domicile après une opération du genou. j'ai dû appeler une dizaine de fois pour finalement rappeler le …"", ""
""évaluation:"""": 1
 
""
""date:"""": ""il y a un mois"", ""name"": ""Stephane Coutant"", ""
""avis:"""": ""Malheureusement je n'ai jamais eu l'occasion de bénéficier de leurs services ma mutuelle m'a proposé cet établissement pour de l'aide à domicile après une opération du genou. j'ai dû appeler une dizaine de fois pour finalement rappeler le …"", ""
""évaluation:"""": 1
 
""
""date:"""": ""il y a un mois"", ""name"": ""Thea Passavanti"", ""
""avis:"""": ""Nous avons eu beaucoup de mal à trouver du personnel qualifié et à l’écoute pour s’occuper de ma grand-mère, cela fait plaisir de tomber finalement sur une société avec un personnel compétent . …"", ""
""évaluation:"""": 5
 
""
""date:"""": ""il y a un mois"", ""name"": ""Thea Passavanti"", ""
""avis:"""": ""Nous avons eu beaucoup de mal à trouver du personnel qualifié et à l’écoute pour s’occuper de ma grand-mère, cela fait plaisir de tomber finalement sur une société avec un personnel compétent . …"", ""
""évaluation:"""": 5
 
""
""date:"""": ""il y a 4 mois"", ""name"": ""Nathalie MARCOT"", ""
""avis:"""": ""Malheureusement nous avons eu affaire à cette société pour la HAD de notre mère. C'est un service déplorable ! sur 5 rdv prévu seulement 2 ont été honorés ! le personnel ne vient pas et ne prévient pas ! et quand l'employé vient sur 2h30 de …"", ""
""évaluation:"""": 1
 
""
""date:"""": ""il y a 4 mois"", ""name"": ""Nathalie MARCOT"", ""
""avis:"""": ""Malheureusement nous avons eu affaire à cette société pour la HAD de notre mère. C'est un service déplorable ! sur 5 rdv prévu seulement 2 ont été honorés ! le personnel ne vient pas et ne prévient pas ! et quand l'employé vient sur 2h30 de …"", ""
""évaluation:"""": 1"
6320088500943,455,4.9,29.0,"""
""date:"""": ""il y a un mois"", ""name"": ""Marie Launay"", ""
""avis:"""": ""Nous sommes entièrement satisfaits de notre interlocuteur Bruno Porcher. C’est une véritable chance de l’avoir à nos côtés depuis de très nombreuses années, il connaît la maison sur le bout des doigts et sait nous guider sur chaque étape et …"", ""
""évaluation:"""": 5
 
""
""date:"""": ""il y a un mois"", ""name"": ""Marie Launay"", ""
""avis:"""": ""Nous sommes entièrement satisfaits de notre interlocuteur Bruno Porcher. C’est une véritable chance de l’avoir à nos côtés depuis de très nombreuses années, il connaît la maison sur le bout des doigts et sait nous guider sur chaque étape et …"", ""
""évaluation:"""": 5
 
""
""date:"""": ""il y a 10 mois"", ""name"": ""maxime hamard"", ""
""avis:"""": ""Dans le cadre d'une création d'entreprise, Baker Tilly m'a été recommandé par quelqu'un de mon entourage. Je ne suis franchement pas déçu de leur accompagnement. Ils ont répondu de manière très professionnel à toutes mes demandes et ont été …"", ""
""évaluation:"""": 5
 
""
""date:"""": ""il y a 10 mois"", ""name"": ""maxime hamard"", ""
""avis:"""": ""Dans le cadre d'une création d'entreprise, Baker Tilly m'a été recommandé par quelqu'un de mon entourage. Je ne suis franchement pas déçu de leur accompagnement. Ils ont répondu de manière très professionnel à toutes mes demandes et ont été …"", ""
""évaluation:"""": 5
 
""
""date:"""": ""il y a 11 mois"", ""name"": ""Sophie Thierry"", ""
""avis:"""": ""Le cabinet comptable nous suit depuis 10 ans. Et nous en sommes très satisfait, des collaborateurs très à l'écoute de bons conseils, très grande réactivité.
Beaucoup de professionnalisme merci à tous et surtout merci à Anthony et Frédéric."", ""
""évaluation:"""": 5
 
""
""date:"""": ""il y a 11 mois"", ""name"": ""Sophie Thierry"", ""
""avis:"""": ""Le cabinet comptable nous suit depuis 10 ans. Et nous en sommes très satisfait, des collaborateurs très à l'écoute de bons conseils, très grande réactivité.
Beaucoup de professionnalisme merci à tous et surtout merci à Anthony et Frédéric."", ""
""évaluation:"""": 5"
2548040100097,447,4.3,156.0,"""
""date:"""": ""il y a un mois"", ""name"": ""klmklem"", ""
""avis:"""": ""Très bon accueil, personnel qualifié et très professionnel. Vraiment dévoués a trouver des solutions lorsque l on est un particulier et non un professionnel.
Je recommande sincèrement."", ""
""évaluation:"""": 5
 
""
""date:"""": ""il y a un mois"", ""name"": ""klmklem"", ""
""avis:"""": ""Très bon accueil, personnel qualifié et très professionnel. Vraiment dévoués a trouver des solutions lorsque l on est un particulier et non un professionnel.
Je recommande sincèrement."", ""
""évaluation:"""": 5
 
""
""date:"""": ""il y a un an"", ""name"": ""Svyatomir Jezierski"", ""
""avis:"""": ""Excellente entreprise, grand choix d'accessoires et de pièces automobiles.  Bons prix, employés sympathiques.  Je recommande!"", ""
""évaluation:"""": 5
 
""
""date:"""": ""il y a un an"", ""name"": ""Svyatomir Jezierski"", ""
""avis:"""": ""Excellente entreprise, grand choix d'accessoires et de pièces automobiles.  Bons prix, employés sympathiques.  Je recommande!"", ""
""évaluation:"""": 5
 
""
""date:"""": ""il y a 2 mois"", ""name"": ""Vincent"", ""
""avis:"""": ""j étais deçu par mes 2 premieres bombes de peinture mais après être retourné aux ets barrault et avoir expliqué les soucis rencontrés lors de l application, ceux-ci ont été à l'écoute et m ont préparés une nouvelle bombe 2k de peinture. je …"", ""
""évaluation:"""": 4
 
""
""date:"""": ""il y a 2 mois"", ""name"": ""Vincent"", ""
""avis:"""": ""j étais deçu par mes 2 premieres bombes de peinture mais après être retourné aux ets barrault et avoir expliqué les soucis rencontrés lors de l application, ceux-ci ont été à l'écoute et m ont préparés une nouvelle bombe 2k de peinture. je …"", ""
""évaluation:"""": 4"
31002648900081,118,5.0,2.0,"""
""date:"""": ""il y a 3 ans"", ""name"": ""Boudon Steve"", ""
""avis:"""": ""Nous sommes ravis de notre chariot !!!"", ""
""évaluation:"""": 5
 
""
""date:"""": ""il y a 3 ans"", ""name"": ""Boudon Steve"", ""
""avis:"""": ""Nous sommes ravis de notre chariot !!!"", ""
""évaluation:"""": 5
 
""
""date:"""": ""il y a 10 mois"", ""name"": ""Albert V"", ""
""avis:"""": ""Belle entreprise rapide et utile pour le  …"", ""
""évaluation:"""": 5
 
""
""date:"""": ""il y a 10 mois"", ""name"": ""Albert V"", ""
""avis:"""": ""Belle entreprise rapide et utile pour le  …"", ""
""évaluation:"""": 5"
30563503900194,112,2.1,23.0,"""
""date:"""": ""il y a 8 mois"", ""name"": ""Nanou"", ""
""avis:"""": ""Obliger de laisser une étoile histoire de laisser un commentaire sinon c’est  pas cool mais l’étoile c’est pour moi pas pour vous.
Que dire dire … beaucoup de choses a dire. …"", ""
""évaluation:"""": 1
 
""
""date:"""": ""il y a 8 mois"", ""name"": ""Nanou"", ""
""avis:"""": ""Obliger de laisser une étoile histoire de laisser un commentaire sinon c’est  pas cool mais l’étoile c’est pour moi pas pour vous.
Que dire dire … beaucoup de choses a dire. …"", ""
""évaluation:"""": 1
 
""
""date:"""": ""il y a 2 ans"", ""name"": ""daniel carré"", ""
""avis:"""": ""j'ai commandé une barre d'appui à ventouse adhérant, selon les caractéristiques qu'ils donnent, sur tout type de support
hors celle-ci n’adhère pas sur le carrelage de la salle de bain …"", ""
""évaluation:"""": 1
 
""
""date:"""": ""il y a 2 ans"", ""name"": ""daniel carré"", ""
""avis:"""": ""j'ai commandé une barre d'appui à ventouse adhérant, selon les caractéristiques qu'ils donnent, sur tout type de support
hors celle-ci n’adhère pas sur le carrelage de la salle de bain …"", ""
""évaluation:"""": 1
 
""
""date:"""": ""il y a 3 ans"", ""name"": ""Adrien Hemard"", ""
""avis:"""": ""Achat réalisé par internet le 6/4 délai de livraison annoncé sur le site de 48h.
Etant en situation de COVID-19, nous savons pertinemment que ces délais sont …"", ""
""évaluation:"""": 1
 
""
""date:"""": ""il y a 3 ans"", ""name"": ""Adrien Hemard"", ""
""avis:"""": ""Achat réalisé par internet le 6/4 délai de livraison annoncé sur le site de 48h.
Etant en situation de COVID-19, nous savons pertinemment que ces délais sont …"", ""
""évaluation:"""": 1"
48776678400093,140,3.7,7.0,"""
""date:"""": ""il y a 3 ans"", ""name"": ""Queeny"", ""
""avis:"""": ""Je suis très déçue cela fait 3 semaines que je les appelle sans arrêt  que j envoie des mails sans réponse que j ai différents interlocuteurs qui me balade entre biosilek et visiomed et qui m explique que suite au rachat de la société une …"", ""
""évaluation:"""": 1
 
""
""date:"""": ""il y a 3 ans"", ""name"": ""Queeny"", ""
""avis:"""": ""Je suis très déçue cela fait 3 semaines que je les appelle sans arrêt  que j envoie des mails sans réponse que j ai différents interlocuteurs qui me balade entre biosilek et visiomed et qui m explique que suite au rachat de la société une …"", ""
""évaluation:"""": 1
 
""
""date:"""": ""il y a 3 ans"", ""name"": ""Local guide Google SC"", ""
""avis:"""": ""Leader de la santé connecté avec le Visiocheck, la station la plus petite au monde."", ""
""évaluation:"""": 5
 
""
""date:"""": ""il y a 3 ans"", ""name"": ""Local guide Google SC"", ""
""avis:"""": ""Leader de la santé connecté avec le Visiocheck, la station la plus petite au monde."", ""
""évaluation:"""": 5
 
""
""date:"""": ""il y a 4 semaines"", ""name"": ""Davis Dave"", ""
""avis:"""": ""entreprise  et service a éviter"", ""
""évaluation:"""": 1
 
""
""date:"""": ""il y a 4 semaines"", ""name"": ""Davis Dave"", ""
""avis:"""": ""entreprise  et service a éviter"", ""
""évaluation:"""": 1"
30355924900238,109,4.0,7.0,"""
""date:"""": ""il y a un an"", ""name"": ""Romain Palluau"", ""
""avis:"""": null, ""
""évaluation:"""": 5
 
""
""date:"""": ""il y a un an"", ""name"": ""Romain Palluau"", ""
""avis:"""": null, ""
""évaluation:"""": 5
 
""
""date:"""": ""il y a 2 ans"", ""name"": ""Céline Debouche"", ""
""avis:"""": null, ""
""évaluation:"""": 4
 
""
""date:"""": ""il y a 2 ans"", ""name"": ""Céline Debouche"", ""
""avis:"""": null, ""
""évaluation:"""": 4
 
""
""date:"""": ""il y a un an"", ""name"": ""Anne-Sophie B"", ""
""avis:"""": null, ""
""évaluation:"""": 4
 
""
""date:"""": ""il y a un an"", ""name"": ""Anne-Sophie B"", ""
""avis:"""": null, ""
""évaluation:"""": 4"
