,ape_code,revenue_2022,company_name,ape_name,resultat_exploitation_ratio_2022,last_number_of_employees,enrollment,corporate_object,equity_2022,current_assets_2022,gross_operating_ebitda_ratio_2022,net_result_2022,current_liabilities_2022,capital,roe_2022,indeed_job_results_count,google_business_notation,additional_info_region_code,net_debt_2022,reimbursement_ratio_2022,siren,commercial_name,siret,robustness_ratio_2022,glassdoor_notation,societeinfo_growth_ratio_2022,gross_operating_ebitda_2022,region_index,resultat_d_exploitation_2022,solvability_ratio_2022,type_ent,resultat_exploitation_ratio,net_result,current_assets,equity,current_liabilities,revenue,robustness_ratio,solvability_ratio,net_debt,gross_operating_ebitda,gross_operating_ebitda_ratio,CAGR_18_22,RCI_2022,RCI,total_fonds,equity_costs,taux de recrutement,RdtCpx_2022,RdtCpx,FRN_2022,FRN,reimbursement_ratio,RCI_21_22,capital_moy_sect,enrollment_moy_sect,last_number_of_employees_moy_sect,employees_number_for_linkedin_moy_sect,revenue_2022_moy_sect,net_result_2022_moy_sect,equity_2022_moy_sect,roe_2022_moy_sect,net_debt_2022_moy_sect,current_assets_2022_moy_sect,current_liabilities_2022_moy_sect,solvability_ratio_2022_moy_sect,gross_operating_ebitda_2022_moy_sect,gross_operating_ebitda_ratio_2022_moy_sect,gross_operating_ebitda_ratio_moy_sect,reimbursement_ratio_2022_moy_sect,robustness_ratio_2022_moy_sect,societeinfo_growth_ratio_2022_moy_sect,resultat_exploitation_ratio_2022_moy_sect,resultat_d_exploitation_2022_moy_sect,resultat_exploitation_ratio_moy_sect,net_result_moy_sect,current_assets_moy_sect,equity_moy_sect,current_liabilities_moy_sect,revenue_moy_sect,reimbursement_ratio_moy_sect,robustness_ratio_moy_sect,solvability_ratio_moy_sect,net_debt_moy_sect,gross_operating_ebitda_moy_sect,CAGR_18_22_moy_sect,RCI_2022_moy_sect,RCI_moy_sect,total_fonds_moy_sect,equity_costs_moy_sect,enrollment_sum,last_number_of_employees_sum,employees_number_for_linkedin_sum,revenue_2022_sum,roe_2022_sum,net_debt_2022_sum,gross_operating_ebitda_2022_sum,resultat_d_exploitation_2022_sum,net_result_sum,revenue_sum,net_debt_sum,pdm,pdm_2022,classification
198,5530Z,11899126.0,LES PETITS CAMARGUAIS,Terrains de camping et parcs pour caravanes ou véhicules de loisirs,0.240699022768563,45.0,45.0,"Camping, caravaning, services et restauration de loisirs et sports. ",8718214.0,13877914.0,0.4551812460847965,2015551.0,8718214.0,70000.0,0.2311885209516536,,,30.0,15103548.0,1.7324130836889298,325558930.0,CAMPING LES FLAMANTS ROSES,32555893000013.0,0.1693864742671016,,0.1954036868354787,5416259.0,occitanie,2864108.0,1.5918299321397709,PME,0.054594682657167,370284.0,6704992.5,5690402.5,5690402.75,9021306.2,0.0534741933008943,1.2465128054296173,14363868.0,2827595.5,0.3342829278053695,0.1665138241475436,0.3906333701571797,0.3649593345487671,20054270.5,0.0441875080921043,,0.2311885209516536,0.0650716711164104,5159700.0,1014589.75,1.0000000439336234,-0.23,14493130.258064516,94.09677419354838,94.09677419354838,39.285714285714285,15328067.263157897,410396.5555555556,15857655.833333334,0.1446853060607875,40390800.722222224,10444488.777777778,15963923.055555556,0.8331189952191619,2044280.5555555555,0.2122298537769293,0.188553915571923,2.898404682555353,0.0547695808898803,0.2185062980111811,0.0961309697475859,921153.6470588236,0.1362292367894083,1905186.8494623653,20368601.58870968,16047110.3844086,16226068.661290323,19790999.46397849,1.067612924939389,0.288117247391297,1.0011555369194542,42017163.36612903,2395090.1532258065,0.3131614417148385,0.2461537914705908,-0.0847164991835436,58064273.750537634,0.0421569634473773,2917.0,2917.0,550.0,291233278.0,2.459650203033388,727034413.0,36797050.0,15659612.0,59060792.333333336,613520983.3833333,1302532064.35,0.0147041526603555,0.0408577140693379,Pépite
304,4110A,18584765.0,ESPACE PROMOTION,Promotion immobilière de logements,0.2096185235594854,100.0,100.0,Promotion immobilière de logements,4376306.0,15074872.0,0.3709810697095174,2765381.0,4376306.0,131750.0,0.631898454998348,,,67.0,10940458.0,2.4999298495123514,395203995.0,ESPACE PROMOTION,39520399500059.0,0.1487982764377166,,0.0918440130266246,6894596.0,grand est,3895711.0,3.4446567493223736,PME,0.108135079820148,1022969.0,10578408.5,1412362.5,835763.75,14116390.2,0.0846525111737108,4.3965775682076185,10092826.8,4502911.25,0.3375098224876026,0.2032283379269717,0.2584814637774819,0.1049991071469582,11505189.3,0.0361379368177801,,0.631898454998348,0.724296347432051,10698566.0,9742644.75,0.5917487543035163,0.07,4563761.742268041,136.986301369863,136.986301369863,345.62,24783773.0,1565099.894736842,12419090.210526315,0.8708071979111022,61931797.2631579,53462121.21052632,15529773.578947367,4.2987134187018485,410711.5263157895,0.0702666723658067,-0.5231496324717522,4.823227477003668,0.040129158683821,35.67585795682949,0.0229434056070393,-126796.94444444444,-0.3551798321486103,1940892.6898625435,53498192.7757732,13550551.852233678,15180364.482817868,24844581.29776632,1.1510147109189832,-0.0783144041020333,2.5085042699992632,52350744.87749141,398160.1125429554,0.3916091817580394,0.6710217804073519,0.5522834363282223,65901296.72972509,0.0373181469933719,10000.0,10000.0,17281.0,570026779.0,16.545336760310942,1176704148.0,7803519.0,-2282345.0,188266590.9166667,2409924385.883333,5078022253.116667,0.0058576071028161,0.0326033191503797,Pépite
310,4110A,22678964.0,ARCHE,Promotion immobilière de logements,0.2074977498972175,,,Promotion immobilière.,3356363.0,8145784.0,0.2075065245484758,3504275.0,3356362.0,1000.0,1.044069130782338,,,34.0,4850472.0,1.445157153740522,849655246.0,ARCHE,84965524600015.0,0.1545165378806545,,3.82329484640215,4706033.0,occitanie,4705834.0,2.426968247167618,GE,-0.5690857142857143,0.0,0.0,0.0,-589771.0,11374482.0,0.0772582689403272,0.8089894157225394,1654946.25,0.0,0.0,0.7316697087874069,0.7316697087874069,0.0,1654946.25,0.03,,1.044069130782338,1.044069130782338,4789422.0,589771.0,1.445157153740522,0.73,4563761.742268041,136.986301369863,136.986301369863,345.62,24783773.0,1565099.894736842,12419090.210526315,0.8708071979111022,61931797.2631579,53462121.21052632,15529773.578947367,4.2987134187018485,410711.5263157895,0.0702666723658067,-0.5231496324717522,4.823227477003668,0.040129158683821,35.67585795682949,0.0229434056070393,-126796.94444444444,-0.3551798321486103,1940892.6898625435,53498192.7757732,13550551.852233678,15180364.482817868,24844581.29776632,1.1510147109189832,-0.0783144041020333,2.5085042699992632,52350744.87749141,398160.1125429554,0.3916091817580394,0.6710217804073519,0.5522834363282223,65901296.72972509,0.0373181469933719,10000.0,10000.0,17281.0,570026779.0,16.545336760310942,1176704148.0,7803519.0,-2282345.0,188266590.9166667,2409924385.883333,5078022253.116667,0.0047198501607056,0.0397857869761588,Pépite
443,6202A,29799395.0,NEXT DECISION,Conseil en systèmes et logiciels informatiques,0.2369497434427779,206.0,206.0,Conseil en systèmes et logiciels informatiques,6468564.0,13702022.0,0.2404265589955769,4580056.0,6468564.0,7820.0,0.7080483396314854,,,44.0,8562825.0,1.323759802020974,521053173.0,NEXT DECISION,52105317300022.0,0.1536962747062482,,0.202400128151018,7164566.0,pays de la loire,7060959.0,2.118247883146862,PME,0.2065252503534023,2483979.25,12356832.5,6711279.75,6648157.5,21059620.6,0.1340965155587416,1.94382201719778,7019896.6,4086402.0,0.2137521210191941,0.2157327813795475,0.6331765526253142,0.4351236057403863,13731176.35,0.054438109230168,,0.7080483396314854,0.3701200579516894,7233458.0,5708675.0,0.990594603063596,0.11,13240878.41044776,547.3507462686567,547.3507462686567,7742.081818181819,84850742.58064516,3942055.214285714,19125437.89285714,0.2502133965854514,48229488.71428572,42522956.60714286,22805396.39285714,2.7960277712395647,10931367.07142857,0.1265206459122783,-5.684437916523045,3.58559003067501,0.0591552227718567,0.1459545565021025,0.0873209393429825,5668332.777777778,-6.346260465134315,1012479.6038557217,42051415.32524876,34881342.375621885,39333304.94340796,73416088.10435323,1.1867467479871618,-0.0418673637750457,2.8373537358050496,48772177.49950249,4995815.049751244,0.2333653966176045,0.4180995363273086,0.3296654933918713,83653519.87512438,0.0456328987323354,73345.0,73345.0,851629.0,2630373020.0,6.755761707807189,1350425684.0,306078278.0,153044985.0,135672266.9166667,9837755805.983334,6535471784.933333,0.0021406935702949,0.0113289616238536,Pépite
1542,4669C,80425048.0,COMPAGNIE HOBART,Commerce de gros (commerce interentreprises) de fournitures et équipements divers pour le commerce et les services,0.1568936458701274,275.0,275.0,Commerce de gros (commerce interentreprises) de fournitures et équipements divers pour le commerce et les services,27351380.0,47592850.0,0.2193372641816763,7939254.0,30100549.0,6000000.0,0.2902688639476326,,,77.0,22317891.0,0.815969468450952,562077735.0,COMPAGNIE HOBART,56207773500404.0,0.0987161860319934,,0.2790842064724564,17640210.0,île-de-france,12618179.0,1.5811289687772805,ETI,0.1384046530764133,5075419.0,36427207.0,22238134.5,25206701.5,63796508.0,0.0872568089986111,1.4718184255308175,16882796.8,11156647.0,0.1858703388165462,0.0349319279858063,0.4538713345945739,0.4523342553506168,39120931.3,0.0584222969150021,,0.2902688639476326,0.2282304300300009,17492301.0,11220505.5,1.1334899292024698,0.02,3121872.019230769,133.1153846153846,133.1153846153846,231.775,29444896.92857143,2653546.8181818184,7903207.181818182,1.6935653490275608,28073240.454545453,22014191.181818184,8367032.818181818,7.082796094388634,3849885.272727273,0.1103500486734987,0.0719470040382835,20.355981590216096,0.0778883577432772,0.4063385637687695,0.0887657700205416,3407353.1,0.0445440464262477,890720.1971153846,16519819.171474358,8242305.490384615,8664870.294871794,38906973.46057692,1.02152502337678,0.0383077890709274,2.231017792954934,14005937.748397436,2317063.392628205,0.2052414165567838,0.2722253834113851,0.2032148457325875,22248243.23878205,0.0479957938909367,6922.0,6922.0,9271.0,412228557.0,16.93565349027561,308805645.0,42348738.0,34073531.0,46317450.25,2023162619.95,728308762.9166666,0.0315330598593091,0.1950981964599798,Pépite
2862,5829C,7164797.0,ASTREE SOFTWARE,Edition de logiciels applicatifs,0.0956246213256286,74.0,74.0,la conception et la commercialisation de logiciels et d'applications informatiques pour l'industrie,4108472.0,7405926.0,0.2061518281676368,1218927.0,4108472.0,75000.0,0.2966862132685826,,,42.0,6444902.0,1.5686858764036848,538739814.0,ASTREE SOFTWARE,53873981400084.0,0.1701272206316522,,0.4284893710600788,1477036.0,auvergne-rhône-alpes,685131.0,1.802598630342376,PME,0.0900048138268815,641372.0,3627595.5,2197934.0,2197934.0,4430214.2,0.1620369843448478,1.675688012903858,3590065.0,610820.75,0.1437959784222272,0.3003954891756741,0.3696570141691135,0.4486180819725508,5787999.0,0.0489869936052165,,0.2966862132685826,0.2918067603485819,3297454.0,1429661.5,1.0,-0.16,4362275.451219512,211.90123456790124,211.90123456790124,371.05263157894734,68350399.56521739,3043550.761904762,21285150.095238097,0.2905947155586594,52362186.95238096,56669521.76190476,25131984.76190476,1.5215698170157512,6690456.095238095,0.1470513355827477,0.1361369793737706,1.6625160215697377,0.0788760236384588,0.1554994218497835,0.1000591384351763,3858129.4285714286,0.083535846656254,2132650.403455285,28763792.220528457,18081443.105691057,19652195.385162603,38202898.72276423,1.134128937871147,-0.0865532992871925,1.5339166466582237,28142097.694918696,5905329.331300813,0.075760794375325,0.1306421297233672,0.2990562939183956,46223540.80060976,0.0499079212975636,17164.0,17164.0,28200.0,1572059190.0,6.102489026731847,1099605926.0,140499578.0,81020718.0,174877333.08333334,3132637695.266667,2307652010.983333,0.0014142121212082,0.0045575873005137,Pépite
3770,4399D,23015843.0,GEOSEC FRANCE,Autres travaux spécialisés de construction,0.3438335932340171,44.0,44.0,"Tant en france qu'a l'étranger, la conception, l'exécution, le diagnostic, la recherche et le développement d'interventions de consolidation des sols  la construction et démolition, restructuration de bâtiments et de fondations, consolidation des terrains.",10374081.0,17892899.0,0.3996864681428353,5810845.0,10492097.0,100000.0,0.5601310612477385,,,77.0,7989900.0,0.7701790645359333,530319847.0,GEOSEC FRANCE,53031984700055.0,0.2524715258094174,,0.6161197245612131,9199121.0,île-de-france,7913620.0,1.7053691935939974,PME,0.2381639513091737,0.0,0.0,0.0,0.0,12068139.8,0.0504943051618834,1.7053691935939974,1597980.0,0.0,0.0,0.2797176197555338,0.7851642294983706,0.6161197245612131,1597980.0,0.03,,0.5601310612477385,0.5601310612477385,7400802.0,0.0,0.7701790645359333,,4603548.434782608,435.7826086956522,435.7826086956522,1367.15,31762712.5,1773949.5,5331484.0,0.1824148326447748,18589449.25,22267696.0,6532562.25,3.298317253854845,4181442.0,0.1281778034191306,0.045935922405072,3.8135991985480486,0.0669878556390991,0.196385325000213,0.1318767700112345,4016891.0,0.0354985556286865,1388626.6557971016,53489259.32971015,7249228.007246376,12520297.289855074,69611305.96304348,1.2565969271522643,0.0169576590320951,2.9891489139320697,47325461.49275362,4603754.221014492,0.0613283938866615,0.2029504755767162,0.0778368961178749,54574689.5,0.038828652032665,10023.0,10023.0,27343.0,127050850.0,0.7296593305790994,74357797.0,16725768.0,12050673.0,31938413.083333336,1601060037.15,1088485614.3333333,0.0075375935442634,0.1811545770846869,Pépite
3930,4774Z,10800729.0,LION / SENECA FRANCE AUDIO,Commerce de détail d'articles médicaux et orthopédiques en magasin spécialisé,0.2513948826972698,11.0,11.0,Le commerce de l'audioprothèse et toutes les activités s'y rattachant,5579509.0,13554604.0,0.3264563901195929,2534883.0,5591436.0,3040815.0,0.4543200844375374,,,92.0,8075907.0,1.4474225240966545,794137737.0,ALAIN AFFLELOU ACOUSTICIEN,79413773700209.0,0.2346955469394704,,0.0954803935430252,3525967.0,île-de-france,2715248.0,2.424172251993942,PME,-0.028101059045563,952.75,9492756.5,1895348.5,1936575.75,8426937.4,0.0297916794099011,4.966391625014209,7900187.0,585103.25,0.0535407461257152,0.1372731380870423,0.3183259476630406,0.0001260888313186,9795535.5,0.0396745527592646,,0.4543200844375374,0.0005026780035439,7963168.0,7556180.75,1.02175180448345,0.08,12145635.5,280.4375,280.4375,1025.2727272727273,59632678.8,4920565.333333333,49277594.833333336,0.1942056921949257,18356003.83333333,25089187.33333333,50916324.0,3.343088407137247,9164483.833333334,0.1992535280538811,0.0883854630563566,4.207377307430861,0.1072548434559252,0.8109831263417,0.1394118327960795,6091968.714285715,0.0528699732018402,1888820.0729166667,15581385.1875,15278705.848958334,15875250.125,42464949.278125,2.2517026707853165,0.0339993182917448,2.09822386179486,22203221.071875,4938975.833333334,0.097886689178737,0.2777168841830739,2.5973306760803867,37481926.92083333,0.0486126025747628,4487.0,4487.0,11278.0,298163394.0,1.1652341531695545,110136023.0,54986903.0,42643781.0,30221121.166666668,679439188.45,355251537.15,0.0124027838594713,0.0362241952477908,Pépite
4057,6920Z,17809926.0,DENJEAN & ASSOCIES,Activités comptables,0.2299002253013291,93.0,93.0,"A titre principal, Société d'expertise comptable et de commissariat aux comptes et à titre accessoire, prestations de domiciliation de sociétés.",4612736.0,8667366.0,0.2498862151364357,2668544.0,4776895.0,1260000.0,0.5785165246829648,,,75.0,5004420.0,1.0849135957488136,398971903.0,DENJEAN & ASSOCIES,39897190300081.0,0.1498346483865233,,0.1074327388821934,4450455.0,île-de-france,4094506.0,1.814435108998628,PME,0.2393115560881406,1940238.75,6377153.25,3600207.75,3616457.5,14573139.8,0.1423594427901833,1.776440852457489,4254680.4,3533351.0,0.2562377538254684,0.122376195771093,0.6859179775405085,0.7028078881926775,7854888.15,0.052916989276289,,0.5785165246829648,0.538924107921272,3890471.0,2760695.75,1.0045135589744787,-0.08,3156930.6666666665,462.0196078431373,462.0196078431373,24900.783783783783,85351130.08823529,3061105.21875,22340102.46875,0.1957202053519091,61692967.21875,61355115.75,23389773.125,6.360947042871627,7864451.1875,0.1223974378806242,0.09177997643363,8.927257908950942,0.061605631375248,0.0534598582636881,0.0898479423243438,5234373.25,0.110517493926889,2111261.295751634,37537073.712418295,18031582.978758167,21100133.437908497,66300920.64477124,0.8862523507469422,0.1147249658527321,2.589295161964536,48049974.24705882,2979063.431372549,0.1577593121103041,0.9928969622535836,-0.1718839814254501,66081557.22581699,0.0477617478642206,23563.0,23563.0,921329.0,2901938423.0,6.263046571261092,1974174951.0,251662438.0,167499944.0,107674326.08333331,3381346952.883333,2450548686.6,0.0043098623131747,0.0061372515208604,Pépite
4361,8559B,95404241.0,LA COMPAGNIE DE FORMATION,Autres enseignements,0.2580494089356048,463.0,463.0,L'exploitation d'établissements d'enseignement édition et toutes publications scolaires toutes opérations d'études de conseil d'assistance dans le domaine des technologies appliquées à la gestion et des ressources humaines la conclusion de tous contrats de franchises concernant son activité. La prestation des enseignements et des actions de formation initiale continue alternance et par apprentissage au sens de l'article L6211-2 du Code du Travail définissant l'apprentissage. Et généralement toutes opérations industrielles comemrciales financières civiles mobilières et immobilières pouvant se rattacher aux objets visés,27114369.0,66471727.0,0.3117406279664234,16015966.0,27753189.0,349298.0,0.5906818631847933,,,92.0,52951770.0,1.9529043806993995,329224562.0,PIGIER - MBWAY - IPAC BACHELOR FACT,32922456200630.0,0.1678747803255413,,0.3275451551577352,29741378.0,île-de-france,24619008.0,2.395102306981731,ETI,0.1029327603819161,5239161.25,35239276.25,4474108.25,5152633.75,61759665.4,0.1003746717730019,-10.0,40803167.6,8689608.0,0.1423766072329636,0.2064018662861671,0.413651104284981,0.1741357896614752,45277275.85,0.0349407878080191,,0.5906818631847933,1.1709956391868703,38718538.0,30086642.5,1.1516560311208384,0.05,4270133.2,216.6,216.6,677.6666666666666,52438436.0,8061873.5,14025113.5,0.3529249881479852,38161183.0,44381230.0,14344523.0,13.106813466002285,15344487.5,0.2058879384425619,0.186623756565512,13.4626391973529,0.089626464296451,0.1460837021137728,0.1371102616905,12386095.5,0.1645111847505204,2897397.7666666666,15702946.116666663,7910586.95,8116250.4,26921424.74,1.053875834647206,0.1056127625715568,0.5353652895285048,15870885.856666666,5215641.233333332,0.4103265185777938,0.209349120998615,8.428754616221813,23781472.806666665,0.0475813858525057,1083.0,1083.0,2033.0,104876872.0,0.7058499762959705,76322366.0,30688975.0,24772191.0,14486988.833333332,134607123.7,79354429.28333333,0.4588142417903845,0.909678551435058,Pépite
