id,siren,name,brand_name,description,address,city,postal_code,country,phone,website,logo,siret,ceo_name,ape,founded_date,turnover_2022,gouv_searched,gouv_street,gouv_city,gouv_postal_code,gouv_country,gouv_lat,gouv_lng
193,322120916,APPLE France,APPLE FRANCE SIÈGE,,7 PLACE D IENA,PARIS,75116,,,,,32212091600208,Éamonn CLANCY,6820B,1981-10-01,224590199.0,1,Place d'Iéna,Paris,75016,,48.86425,2.293755
542,318548948,AQUA D'OC,AQUA D'OC,,2286 LA LAURAGAISE,SAINT-THIBÉRY,31670,,,,,31854894800088,LP HOLDING,4661Z,1980-01-01,,0,,,,,,
173,880149406,ARENO,ARENO,,14 RUE DU BOIS GUILLAUME,EVRY COURCOURONNES,91000,,,,,88014940600014,Chouhaïbe NOUAR KHERKHACHI,4399C,2019-12-30,445300.0,1,Rue du Bois Guillaume,Évry-Courcouronnes,91000,,48.641705,2.424603
189,319632790,ARKEMA,CENTRE APPLICATION LEVALLOIS ATOCHEM,,420 RUE ESTIENNE D ORVES,COLOMBES,92700,,,,,31963279000857,Thiery PARMENTIER,2014Z,1980-01-01,3558200000.0,1,Rue d’Estienne d’Orves,Colombes,92700,,48.908979,2.230907
126,339899486,AROMATECH,AROMATECH,,ROUTE DE GRASSE,SAINT-CÉZAIRE-SUR-SIAGNE,06530,,,,,33989948600023,CAPAROM HOLDING,2053Z,1987-01-16,27044000.0,1,Route de Grasse,Saint-Cézaire-sur-Siagne,06530,,43.64936,6.807111
492,306762824,ARROUZE SAS,ARROUZE SAS,,83 AVENUE DE LA GRANDE ARMEE,SERRES-CASTET,75116,,,,,30676282400010,Mathieu SOULIE,4519Z,1976-01-01,,0,,,,,,
197,326216132,ASSELIN,ASSELIN,,10 BOULEVARD AUGUSTE RODIN,THOUARS,79100,,,,,32621613200018,FRANCOIS ASSELIN ENTREPRISE,4332A,1982-09-01,16266983.0,1,Boulevard Auguste Rodin,Thouars,79100,,46.987932,-0.217719
127,382507002,ATELEC,ATELEC,,23 RUE CLEMENT ROASSAL,NICE,06000,,,,,38250700200022,FINO SERGE ONUFRE,4321A,1991-07-01,98300.0,1,Rue Clément Roassal,Nice,06000,,43.708105,7.260504
515,314258047,AUTO REAL RN 20,AUTOMOBILES DU FALGA,,11 RUE DE CAMBRAI,MURET,75019,,,,,31425804700047,HOLDING 4 R,4511Z,1978-01-01,,1,Rue de Cambrai,Paris,75019,,48.896148,2.380225
144,515051944,AZUR SANTE PLUS,AZUR SANTE PLUS,,14 BIS AVENUE GEORGE 5,NICE,06000,,,,,51505194400053,Sophie VIDAL CROS,8810A,2009-09-18,8293000.0,1,Avenue George V,Nice,06000,,43.710903,7.268479
455,63200885,Baker Tilly STREGO,BAKERTILLY STREGO,,RUE PRE DIDIER,ANGERS,38120,,,,,6320088500943,Thierry CROISEY,6920Z,1998-12-25,,0,,,,,,
161,843308263,B.A.L. ET GRAVURE,B.A.L. ET GRAVURE,,17 PLACE DU GRAND JARDIN,VENCE,06140,,,,,84330826300014,Lilian-maxence HEUTTE,4752A,2018-10-05,81300.0,1,Place du Grand Jardin,Vence,06140,,43.722433,7.111724
447,25480401,BARRAULT,BARRAULT,,ZAC AGEN SUD,NIORT,47000,,,,,2548040100097,AUTOMOTIVE INVEST SAS - AMI SAS,4531Z,1958-01-01,,0,,,,,,
118,310026489,BARTHELEMY MANUTENTION,FENWICK,,17 RUE DE BERLIN,VITROLLES,13127,,,,,31002648900081,Frédéric BOSSARD,4669B,1977-01-01,58267601.0,1,Rue de Berlin,Vitrolles,13127,,43.424784,5.253677
538,317928455,BARTHEZ,SUPER U,,285 GAVARY,THÉZAN-LÈS-BÉZIERS,83260,,,,,31792845500060,Claude JEANJEAN,4711F,1989-12-25,,0,,,,,,
112,305635039,BASTIDE LE CONFORT MEDICAL,BASTIDE LE CONFORT MEDICAL,,12 AVENUE DE LA DAME,CAISSARGUES,30132,,,,,30563503900194,Vincent BASTIDE,7729Z,1976-01-01,249781236.0,1,Avenue de la Dame,Caissargues,30132,,43.798003,4.38241
148,530801778,BEG RENOVATION,BEG RENOVATION,,6 BIS AVENUE DURANTE,NICE,06000,,,,,53080177800016,Eric GELLERAT,4322A,2011-01-01,208400.0,1,Avenue Durante,Nice,06000,,43.702007,7.262613
500,309719292,BEUCHAT INTERNATIONAL SAS,BEUCHAT INTERNATIONAL SAS,,255 CHEMIN DE CROISSET,MARSEILLE,76000,,,,,30971929200034,,4649Z,1977-01-01,,0,,,,,,
140,487766784,BEWELLCONNECT,BEWELLCONNECT,,470 PROMENADE DES ANGLAIS,NICE,06200,,,,,48776678400093,BEWELLTHY,4646Z,2005-12-27,596000.0,1,Promenade des Anglais,Nice,06000,,43.666629,7.212989
514,314211855,B.F. PARTICIPATIONS,ETABLISSEMENTS BELLOC,,21 BOULEVARD DE JOFFRERY,MILLAS,31600,,,,,31421185500023,Jean FOURNE,4611Z,1964-01-01,,1,Boulevard de Joffrery,Muret,31600,,43.479189,1.335759
109,303559249,BG ingenieur conseil,BG-21,,40 AVENUE DES TERROIRS DE FRANCE,PARIS,75012,,,,,30355924900238,Pierre EPARS,7112B,1982-03-01,45439772.0,1,Avenue des Terroirs de France,Paris,75012,,48.831912,2.388676
513,314209206,BIZERBA FRANCE,BIZERBA FRANCE,,BOULEVARD DE LA GARE,SAINT-QUENTIN-FALLAVIER,66170,,,,,31420920600015,BIZERBA SE AND CO KG,4669B,1978-01-01,,0,,,,,,
120,311315329,B&M FRANCE SAS,B&M,,8 RUE DU BOIS JOLI,COURNON-D’AUVERGNE,63800,,,,,31131532900848,Anthony GIRON,4719A,1977-01-01,417531010.0,1,rue du Bois Joli,Cournon-d'Auvergne,63800,,45.747276,3.156174
200,329570857,BNP PARIBAS REAL ESTATE TRANSACTION FRANCE,BNPPRE TRANSACTION FRANCE,,50 COURS DE L'ILE SEGUIN,BOULOGNE-BILLANCOURT,92100,,,,,32957085700865,Laurent BOUCHER,6831Z,1984-01-01,177305148.0,1,Cours de l'Ile Seguin,Boulogne-Billancourt,92100,,48.827741,2.234805
505,311068266,BOSE,BOSE,,6 RUE DE LA REDOUTE,SAINT-GERMAIN-EN-LAYE,78280,,,,,31106826600205,Petrus DE BRUIJN,4643Z,1977-01-01,,0,,,,,,
